Longitud,Latitud,Frecuencia,Amplitud,MSK,Lugar,Rrup [km],R [km],Rhyp [km],Rasp [km],Rasp max [km],Rasp pond slip [km],Period,Rp [km]
-72.41,-35.34,2.41713,5.969,9.0,Constitucion,34.12777739402086,42.29338427276969,100.35104991407133,52.5663566332199,52.56635673083141,114.09545255424148,-1,59.819414430368695
-71.48,-34.44,0.56676,3.953,8.0,Peralillo,49.499125300316436,55.44584013826611,229.88677522422424,123.19541877228808,123.19541984931416,207.15697992868945,-1,85.92701294716034
-71.66,-34.6,1.78367,4.469,8.0,Pumanque,45.89959110408359,52.25757832823936,205.78483682217708,100.9608998813707,100.96090081339558,184.3313699439493,-1,76.92873309244115
-71.98,-34.99,1.30024,8.431,8.0,Licanten,40.4080359060451,47.50616870630121,154.51522743046226,64.78665023005455,64.78665087904548,142.04111420536972,-1,70.07227745823965
-72.02,-35.08,1.53362,3.939,8.0,Curepto,41.79880428120278,48.694580617120764,144.95534769646883,62.73545503643558,62.73545562573748,136.7834415919404,-1,70.93749860268346
-71.66,-35.43,3.59,3.52,8.0,Talca,61.95235874316383,66.79930362149592,149.81323120490222,106.23197651257993,106.23197736327707,159.40248797735524,-1,106.92434551761784
-72.32,-35.96,2.80054,6.782,8.0,Cauquenes,46.21656184779914,52.535636390938166,78.40776971944045,117.22988241918557,117.22988250057357,134.07446668728667,-1,82.00484902317692
-71.82,-36.15,1.61,3.27,8.0,Parral,66.77755372538013,71.29798883768598,123.49273911930261,153.59803940006708,153.59803979812133,164.5856528688201,-1,118.66636257337476
-71.82,-33.95,1.55029,5.383,7.5,Navidad,32.33141283282953,40.85782820707023,256.9176009198937,136.86859313603458,136.86859363330734,228.26713092314205,-1,64.63945212205289
-70.96,-34.23,4.127,4.23,7.5,Donihue (*),71.28295045384087,75.53407346721472,279.44443829345556,175.74137736569614,175.74137896161878,257.2655489767977,-1,129.80239875754756
-70.94,-34.27,2.39,2.73,7.5,Coinco,73.02366737430555,77.17826257457442,277.6648328865577,175.34826861986076,175.34827025445335,256.07855750990933,-1,131.9095953254509
-71.1,-34.3,2.6338,2.941,7.5,Coltauco (*),63.37464295419113,68.12041469962453,264.90040776521073,160.8491622521041,160.849163713109,242.78118048974608,-1,116.31621866950826
-71.53,-34.31,3.00058,5.636,7.5,Esperanza,46.11378537192687,52.445241380578224,238.0212523367049,126.89058956774034,126.89059053146886,213.22463607039168,-1,80.89914016945514
-71.28,-34.36,2.98391,7.357,7.5,Pichidegua,55.82822007877235,61.162222286164344,248.7083922082956,143.2957090017779,143.29571027807114,226.24966219004932,-1,100.47051097116432
-71.55,-34.44,2.30044,4.899,7.5,Poblacion,46.57326610244422,52.84972461339749,225.7222084463849,117.68784820858005,117.68784920449018,202.45745044615734,-1,80.96540442532263
-71.36,-34.64,0.36672,4.383,7.5,SantaCruz,57.27293892448459,62.48370589350126,221.6671557854197,124.71615756125469,124.71615884340122,203.43707218493398,-1,100.2872649988822
