Longitud,Latitud,Frecuencia,Amplitud,MSK,Lugar,Rhf,Rhf_max,Rhf_pond
-72.41,-35.34,2.41713,5.969,9.0,Constitucion,77.26881651796593,103.35182742862595,118.76375686709392
-71.48,-34.44,0.56676,3.953,8.0,Peralillo,57.07407394706611,57.07407424649522,177.42387053422502
-71.66,-34.6,1.78367,4.469,8.0,Pumanque,44.69782724048147,44.69782736169683,158.14421566595536
-71.98,-34.99,1.30024,8.431,8.0,Licanten,59.73261247515061,59.732612487174556,131.41754894670066
-72.02,-35.08,1.53362,3.939,8.0,Curepto,68.00691850048982,68.00691852305997,128.7574883897273
-71.66,-35.43,3.59,3.52,8.0,Talca,103.33770600449854,103.33770605485982,141.98987935355802
-72.32,-35.96,2.80054,6.782,8.0,Cauquenes,53.909258630053486,161.6916199421181,124.65876383656581
-71.82,-36.15,1.61,3.27,8.0,Parral,97.11764104478172,177.59839576881146,147.87863970769286
-71.82,-33.95,1.55029,5.383,7.5,Navidad,81.36741473060039,81.36741473746865,203.26948492302932
-70.96,-34.23,4.127,4.23,7.5,Donihue (*),102.48559141356826,102.48559227072728,223.36865390192372
-70.94,-34.27,2.39,2.73,7.5,Coinco,102.39248163319738,102.39248252657086,222.08362553979595
-71.1,-34.3,2.6338,2.941,7.5,Coltauco (*),88.85010110522374,88.85010181739288,209.7232723416991
-71.53,-34.31,3.00058,5.636,7.5,Esperanza,60.15584660425974,60.155846825236054,183.7328902622999
-71.28,-34.36,2.98391,7.357,7.5,Pichidegua,73.26574319952472,73.26574371452912,194.50533968532326
-71.55,-34.44,2.30044,4.899,7.5,Poblacion,53.010146535340546,53.010146757922584,173.51017644091448
-71.36,-34.64,0.36672,4.383,7.5,SantaCruz,62.9705161950162,62.970516642223664,173.73659563825882
-71.28,-34.73,0.41673,2.651,7.5,Chepica,70.32094404763303,70.32094457478046,175.12638839211832
-71.65,-34.8,4.28417,2.632,7.5,Lolol,50.7832672337528,50.7832673486468,150.32384863247222
-71.23,-34.98,0.52,3.8,7.5,Curico,84.27406438774494,84.27406489599136,170.98726072773547
-71.99,-35.24,5.73446,2.439,7.5,Gualleco,82.54969726632876,82.54969727703876,128.24779869781355
-71.98,-35.32,7.63484,3.795,7.5,Batuco,90.32296396056485,90.32296396838964,128.2591841076722
-73.03,-36.82,0.70012,9.321,7.5,Concepcion,51.57447021813398,270.7901287597854,167.38996477238695
-73.1,-36.84,0.66678,10.27,7.5,SanPedrodelaPaz,55.324841024733644,275.2630524949226,170.73134346267798
-71.84,-33.9,0.79,4.17,7.0,LaBoca,86.12231545387178,86.12231696655813,207.5687272655208
-71.87,-33.96,0.25003,7.494,7.0,Matanzas,80.14278266505728,80.14278298543444,200.84330314233804
-71.73,-34.12,0.16,2.0,7.0,Litueche,66.93617550416249,66.93617554484175,190.4122703252218
-70.66,-34.19,3.01,2.57,7.0,Machali,127.98766718158726,127.98766838185836,246.0652658755677
-71.66,-34.21,3.68405,4.706,7.0,LaEstrella,61.43834519667623,61.43834528651982,185.44047813938326
-71.4,-34.3,3.1006,4.434,7.0,LasPataguas,68.05136568086373,68.05136604081298,191.54891329007484
-71.17,-34.38,1.75033,2.099,7.0,Peumo,80.6269632776924,80.62696392774832,200.13748826658087
