"","MSK64","Rhyp","Rasp","Rasp_max","Rasp_pond","Rhf","Rhf_max","Rhf_pond","f0","residuals_Rasp_max","residuals_Rhf_max","residuals_Rhf","residuals_Rhf_pond","logf0_1","logf0_5","residuals_Rasp_max_f0","residuals_Rhf_max_f0","residuals_Rhf_f0","residuals_Rhf_pond_f0"
"1",9,100.351049914071,52.5663566332199,52.5663567308314,114.095452554241,58.549257035347,110.740534927999,93.1639391371252,2.41713,0.955508729517183,2.07696961239626,1.8219977343615,1.68710669546249,0,0,0.739842479202181,1.94621880764991,1.70550518299533,1.50253351363591
"2",8,229.886775224224,123.195418772288,123.195419849314,207.156979928689,51.0694159467464,54.2296878857646,100.165408787636,0.56676,0.921820769236411,0.674711624006529,0.673097968861951,0.763168913058971,-0.246600808375675,0,0.910677861628203,0.678241533810729,0.656318114642759,0.753148257360435
"3",8,205.784836822177,100.960899881371,100.960900813396,184.331369943949,44.5830236324412,44.8992878923861,83.8579423301642,1.78367,0.69599670984072,0.568334798245392,0.525124116751509,0.576641852102753,0,0,0.524823308570618,0.411311437537,0.401765590181735,0.384022575312659
"4",8,154.515227430462,64.7866502300545,64.7866508790455,142.04111420537,43.4213892113742,66.4541682097231,74.9076493807921,1.30024,0.192661191960423,0.789245281777995,0.496363311777718,0.458166187128087,0,0,-0.00875555128290094,0.643632628476451,0.372339616725222,0.25691731903764
"5",8,144.955347696469,62.7354550364356,62.7354556257375,136.78344159194,44.6863134576408,75.288172953975,77.857492931556,1.53362,0.156158744516842,0.859565661617201,0.527645078269679,0.498709224861781,0,0,-0.0474512792752989,0.717585272689227,0.404344855497367,0.30041345136499
"6",8,149.813231204902,106.23197651258,106.231977363277,159.402487977355,88.3270334782489,111.950584189049,106.26271708818,3.59,0.753737300350573,1.08309261361426,1.26992806278899,0.825196261718363,0,0,0.586033291488699,0.952658080754298,1.16379506628217,0.650681318601703
"7",8,78.4077697194405,117.229882419186,117.229882500574,134.074466687287,50.6496764429883,170.606464612776,131.491872341269,2.80054,0.865506098632492,1.32046129049893,0.664107328551915,1.04881051452359,0,0,0.704517812918096,1.20228758146303,0.543963150544405,0.890583301136535
"8",8,123.492739119303,153.598039400067,153.598039798121,164.58565286882,71.700366645543,187.008480475575,152.97685944765,1.61,1.17207066523574,1.3721798346456,1.04273674716633,1.20767103241604,0,0,1.02950257180919,1.25667754783163,0.931349360080456,1.06101498297618
"9",7.5,256.917600919894,136.868593136035,136.868593633307,228.267130923142,72.0009360175642,72.0009360266746,124.331952218734,1.55029,0.541234074899932,0.334412509682085,0.547293919393904,0.490038820410001,0,0,0.390804553849909,0.191132882924824,0.436011928778642,0.327530764198915
"10",7.5,279.444438293456,175.741377365696,175.741378961619,257.265548976798,92.5584576136178,98.9009748633143,146.70150800003,4.127,0.824868820709934,0.513263578947461,0.820904896044207,0.663703333693511,0,0,0.691481734195714,0.379222161206605,0.715950871505009,0.513844742444972
"11",7.5,277.664832886558,175.348268619861,175.348270254453,256.078557509909,92.766888029459,99.2630128109885,146.107625573423,2.39,0.82232809478102,0.51532226329705,0.823355297541264,0.65944534959112,0,0,0.688788346592035,0.381387182948519,0.718457944915364,0.509276613110859
"12",7.5,264.900407765211,160.849162252104,160.849163713109,242.781180489746,79.5893403745243,85.5033587609712,132.890036482392,2.6338,0.724406311170144,0.431250668655539,0.656451290009921,0.55991294493285,0,0,0.58498284946767,0.292973031302284,0.547693847739418,0.402494416070955
"13",7.5,238.021252336705,126.89058956774,126.890590531469,213.224636070392,52.5353629176512,54.8558892429409,104.534874703204,3.00058,0.455351244851054,0.181180239845909,0.203928304123017,0.30798804805136,0,0,0.29976138103457,0.0299856940299069,0.0847050898341943,0.132219684234448
"14",7.5,248.708392208296,143.295709001778,143.295710278071,226.249662190049,65.0012909307422,69.9748510661644,117.191788957573,2.98391,0.593298680711175,0.318330779532471,0.435880501789752,0.427957282317447,0,0,0.445997505709294,0.17422048184281,0.322021785870378,0.260927299167604
"15",7.5,225.722208446385,117.68784820858,117.68784920449,202.457450446157,47.6582090387974,49.8589072350025,95.9646735622977,2.30044,0.369929757780092,0.127366938729305,0.097787894710008,0.218197647952503,0,0,0.209207271381701,-0.0266072299629808,-0.0238900928422552,0.0358890848827402
"16",7.5,221.66715578542,124.716157561255,124.716158843401,203.437072184934,59.7567093939201,64.0643103117742,101.824623362905,0.36672,0.43574035525731,0.268610088675127,0.344235401570963,0.280414181910516,-0.435665404048723,0,0.537723454381404,0.395870887938817,0.410501776220864,0.401228442504096
"17",7.5,220.58320981211,129.256551814256,129.256553204253,204.873173071129,68.006592055158,72.745838996473,106.469930599278,0.41673,0.476311362848577,0.340211529084752,0.48511792604335,0.327241159702544,-0.380145233966818,0,0.547757550905946,0.436260583036861,0.531417751616565,0.413414487817749
"18",7.5,190.388847370719,95.2414029085648,95.2414039070599,173.858332107964,50.483989056665,55.1405321562038,82.7735285138439,4.28417,0.12982996196353,0.184096207535329,0.160537849173262,0.0629793031561536,0,0,-0.0453191245348519,0.033052280438637,0.0403111176633522,-0.130635133387257
"19",7.5,207.86038039747,131.100464633436,131.100466088438,198.98391149426,84.0762650577049,89.4851481025652,111.723522369158,0.52,0.492382306194477,0.45689572423474,0.71619758622196,0.37779872358098,-0.283996656365201,0,0.507689368006447,0.498515213926732,0.727621504058079,0.401757445015087
"20",7.5,135.371192497436,71.0309504545602,71.0309510218388,136.775251768718,56.2750911597671,90.6356260862162,86.2214598280373,5.73446,-0.202939651165789,0.464093201997104,0.278840288446443,0.105817643486727,0,0.758492527719079,0.0339391397302138,0.600688290556468,0.532496288724988,0.297910423386955
"21",7.5,130.869532353213,76.0680325129381,76.0680330568354,137.303588071223,62.9827227640542,98.6742701423752,90.8332729653711,7.63484,-0.125207231893297,0.511970609853569,0.401514065514157,0.160512941637118,0,0.882799940168445,0.187145266856922,0.695808884843046,0.718833502222464,0.41929084613544
"22",7.5,96.6568952733014,54.9453991039645,210.778843659294,150.654327864628,80.920412878771,279.523662449999,225.328565528862,0.70012,1.03112988936924,1.09863569760135,0.674519745527396,1.11418434140209,-0.154827515883872,0,1.00209165348772,1.09218357924817,0.63094658859105,1.10325191961292
"23",7.5,98.3131956087898,49.0803215867359,214.079447109908,150.418577912152,84.5928896591985,283.927473900661,229.639650427822,0.66678,1.04875861788866,1.10744296574926,0.722871053921342,1.13407760792968,-0.176017435268602,0,1.03336477997577,1.11476964678942,0.689280171435468,1.13911707171292
