Longitud,Latitud,Frecuencia,Amplitud,MSK,Lugar,Rhf,Rhf_max,Rhf_pond
-72.41,-35.34,2.41713,5.969,9.0,Constitucion,58.54925703534705,110.74053492799916,93.1639391371252
-71.48,-34.44,0.56676,3.953,8.0,Peralillo,51.069415946746425,54.22968788576459,100.16540878763581
-71.66,-34.6,1.78367,4.469,8.0,Pumanque,44.583023632441154,44.8992878923861,83.85794233016419
-71.98,-34.99,1.30024,8.431,8.0,Licanten,43.42138921137419,66.45416820972314,74.90764938079205
-72.02,-35.08,1.53362,3.939,8.0,Curepto,44.68631345764084,75.28817295397496,77.85749293155601
-71.66,-35.43,3.59,3.52,8.0,Talca,88.32703347824892,111.95058418904932,106.26271708817971
-72.32,-35.96,2.80054,6.782,8.0,Cauquenes,50.649676442988266,170.6064646127763,131.49187234126902
-71.82,-36.15,1.61,3.27,8.0,Parral,71.70036664554299,187.0084804755752,152.9768594476504
-71.82,-33.95,1.55029,5.383,7.5,Navidad,72.0009360175642,72.00093602667461,124.33195221873353
-70.96,-34.23,4.127,4.23,7.5,Donihue (*),92.55845761361783,98.90097486331426,146.7015080000299
-70.94,-34.27,2.39,2.73,7.5,Coinco,92.766888029459,99.26301281098853,146.10762557342315
-71.1,-34.3,2.6338,2.941,7.5,Coltauco (*),79.5893403745243,85.50335876097124,132.89003648239162
-71.53,-34.31,3.00058,5.636,7.5,Esperanza,52.53536291765123,54.85588924294095,104.53487470320373
-71.28,-34.36,2.98391,7.357,7.5,Pichidegua,65.0012909307422,69.97485106616439,117.19178895757315
-71.55,-34.44,2.30044,4.899,7.5,Poblacion,47.65820903879736,49.858907235002505,95.96467356229769
-71.36,-34.64,0.36672,4.383,7.5,SantaCruz,59.756709393920126,64.06431031177416,101.82462336290513
-71.28,-34.73,0.41673,2.651,7.5,Chepica,68.00659205515798,72.74583899647304,106.46993059927843
-71.65,-34.8,4.28417,2.632,7.5,Lolol,50.483989056665024,55.14053215620385,82.77352851384391
-71.23,-34.98,0.52,3.8,7.5,Curico,84.07626505770492,89.48514810256523,111.72352236915846
