Longitud,Latitud,Frecuencia,Amplitud,MSK,Lugar,Rhf,Rhf_max,Rhf_pond
-72.41,-35.34,2.41713,5.969,9.0,Constitucion,48.02789204735955,123.20574278374671,106.43366147704197
-71.48,-34.44,0.56676,3.953,8.0,Peralillo,48.5794509840335,49.078838943582525,127.24833029327496
-71.66,-34.6,1.78367,4.469,8.0,Pumanque,44.583023632441154,46.22743300877701,114.13455319944173
-71.98,-34.99,1.30024,8.431,8.0,Licanten,47.03366385578112,76.31693211638056,101.41214348369358
-72.02,-35.08,1.53362,3.939,8.0,Curepto,51.728802979569366,85.36611400660624,101.27608593977504
-71.66,-35.43,3.59,3.52,8.0,Talca,83.51302504736742,116.95982075873108,114.23521320598861
-72.32,-35.96,2.80054,6.782,8.0,Cauquenes,48.81629592038902,180.41732423686767,125.87976827043603
-71.82,-36.15,1.61,3.27,8.0,Parral,68.31643045624624,193.40492057334393,142.7406981193287
-71.82,-33.95,1.55029,5.383,7.5,Navidad,36.55015277510161,70.06841588319371,154.9228096229048
-70.96,-34.23,4.127,4.23,7.5,Donihue (*),77.58560436750739,87.58684322768529,165.26260213599807
-70.94,-34.27,2.39,2.73,7.5,Coinco,77.08187607277597,87.99361538975843,164.1899881988295
-71.1,-34.3,2.6338,2.941,7.5,Coltauco (*),67.96127267471651,75.11927483027242,153.20366844280545
-71.53,-34.31,3.00058,5.636,7.5,Esperanza,47.2603151564475,49.42064218826283,132.8854867820463
-71.28,-34.36,2.98391,7.357,7.5,Pichidegua,59.80112832150044,61.30992516927029,140.39329370256587
-71.55,-34.44,2.30044,4.899,7.5,Poblacion,45.628233814191674,46.161353811672406,124.66007464496793
-71.36,-34.64,0.36672,4.383,7.5,SantaCruz,56.89280990203558,59.30915390675022,124.49648868141215
-71.28,-34.73,0.41673,2.651,7.5,Chepica,60.5546034236252,67.93964851331191,126.25872594583116
-71.65,-34.8,4.28417,2.632,7.5,Lolol,48.973750740487475,58.16723968843685,109.3905739582255
-71.23,-34.98,0.52,3.8,7.5,Curico,70.48479323685697,86.70462903107428,126.34731383637948
-71.99,-35.24,5.73446,2.439,7.5,Gualleco,66.21937457462035,99.77238027640628,103.09395503800881
-71.98,-35.32,7.63484,3.795,7.5,Batuco,65.33310716813611,107.46766602640969,104.53648647196793
-73.03,-36.82,0.70012,9.321,7.5,Concepcion,89.30756301667087,290.473674944608,213.405743223293
-73.1,-36.84,0.66678,10.27,7.5,SanPedrodelaPaz,93.38505445750049,295.04768087514486,217.99490216336926
-71.84,-33.9,0.79,4.17,7.0,LaBoca,38.86314734078357,74.71791327694456,159.28296436165596
-71.87,-33.96,0.25003,7.494,7.0,Matanzas,34.79457028776549,69.77433774158561,153.64422527245668
-71.73,-34.12,0.16,2.0,7.0,Litueche,36.494764212303444,55.992953190845625,141.58768333653757
-70.66,-34.19,3.01,2.57,7.0,Machali,97.75876649984113,112.63946587815958,186.3874366291442
-71.66,-34.21,3.68405,4.706,7.0,LaEstrella,42.17797542267752,50.68712486693516,136.04960258395013
-71.4,-34.3,3.1006,4.434,7.0,LasPataguas,53.70478128043915,55.72251200017006,138.44912854395756
-71.17,-34.38,1.75033,2.099,7.0,Peumo,62.69160947264309,68.52190675988452,145.0296373640064
-70.86,-34.41,4.11747,2.877,7.0,Rengo,78.29251965524219,92.2152636731831,162.24807790494768
-71.08,-34.44,0.49,4.08,7.0,SanVicenteTagua-tagua,65.5029841293458,74.72807935952603,147.22886100532534
-71.16,-34.87,2.49,1.97,7.0,Teno,69.91428756345687,82.99081599184254,130.79594709444672
-71.31,-34.93,1.25023,2.723,7.0,Rauco,68.52029523715538,79.07423421510643,122.26259748582497
-71.81,-34.98,2.86722,3.601,7.0,Hualane,51.474671642593535,72.65646134840037,103.92519621805934
-71.28,-35.11,0.25003,2.212,7.0,Molina,74.52871388591913,94.8860969269896,124.24127149242489
-71.27,-35.28,3.54,4.33,7.0,Cumpeo,83.68060110048684,110.43798574094889,127.09448998567873
-71.81,-35.34,2.9339,4.572,7.0,Pencahue,75.42883014139923,107.5665866058597,107.91472701887729
-71.58,-35.55,2.13,4.36,7.0,Bobadilla,87.93717968445212,130.09646095313983,120.59458401507143
-72.27,-35.59,2.90056,3.654,7.0,Empedrado,41.83837459100949,141.5600763913958,110.15063006010621
-72.52,-35.73,1.91703,2.981,7.0,Chanco,38.92262666343974,163.97294535058273,118.68027549008002
-71.77,-36.03,0.38339,3.277,7.0,Retiro,73.12421419492703,180.34078362571145,136.45164875024898
-72.78,-36.13,6.80134,3.892,7.0,Cobquecura,40.37941525918391,212.86055460975123,147.46899013749544
-72.55,-36.28,2.91723,5.004,7.0,Quirihue,44.314023530558046,219.77094336828875,150.70922774901194
-72.4,-36.39,2.57,3.13,7.0,Ninhue,54.53228859496605,227.16502430528172,156.99019590112022
-71.96,-36.42,0.34,1.63,7.0,SanCarlos,64.95166449006531,223.4449047497947,160.4745666554288
-72.95,-36.62,2.68385,2.439,7.0,Tome,69.25974505106822,267.578378466707,192.31978020564296
-72.29,-36.74,1.12,3.67,7.0,Bulnes,69.53976901421458,262.18679743452145,188.63594980170964
-73.0,-36.74,2.6005,3.156,7.0,Penco,81.13897877144572,281.38122639902986,204.95599107438852
-72.47,-36.74,1.4336,6.03,7.0,Quillon,70.1595709946173,265.7138543760432,190.41081719891991
-72.66,-36.82,2.30044,4.668,7.0,Florida,80.14874776761796,278.8002913991081,201.89287766543382
-73.16,-37.09,3.17,5.14,7.0,Lota,118.94476629077495,322.2462999984328,243.64428760721518
-71.17,-33.65,2.75053,3.979,6.5,Pomaire,66.74447402629484,111.95549335533919,198.42959560797354
-70.93,-33.67,1.8167,2.0,6.5,Talagante,71.03924202959925,122.50781080947799,207.12286074503322
-70.98,-33.68,2.61,1.62,6.5,ElMonte,70.50091906713635,118.90892423009412,203.93807031411285
-71.21,-33.69,5.69,2.96,6.5,Melipilla,69.61751513150416,106.69232125604928,193.39457136428734
-71.73,-33.94,0.88349,4.862,6.5,Rapel,40.53142411522868,70.67975610182799,156.91172298059396
-70.74,-34.16,4.00078,1.501,6.5,Rancagua,93.7142333263838,107.10126516474342,182.87534825317357
-71.61,-34.4,0.90016,4.391,6.5,Marchigue,43.47334739167332,44.5891387468376,124.89710554244617
