Longitud,Latitud,Frecuencia,Amplitud,MSK,Lugar,Rasp,Rasp_max,Rasp_pond
-72.41,-35.34,2.41713,5.969,9.0,Constitucion,58.84955315741928,58.84955318879016,128.25413086989983
-71.48,-34.44,0.56676,3.953,8.0,Peralillo,111.47118712926289,111.47118813964022,229.73981210193028
-71.66,-34.6,1.78367,4.469,8.0,Pumanque,89.8851988940805,89.88519975439624,206.90072161340316
-71.98,-34.99,1.30024,8.431,8.0,Licanten,58.742261615582755,58.74226214549503,162.33094403693093
-72.02,-35.08,1.53362,3.939,8.0,Curepto,58.749760360280845,58.749760816370525,155.52976365794996
-71.66,-35.43,3.59,3.52,8.0,Talca,104.99276295715778,104.9927636645346,164.46226477777674
-72.32,-35.96,2.80054,6.782,8.0,Cauquenes,77.6132400200476,125.21444231950294,118.8982185179236
-71.82,-36.15,1.61,3.27,8.0,Parral,116.09670497395305,158.68902739302627,146.83332221552587
-71.82,-33.95,1.55029,5.383,7.5,Navidad,124.17962129555633,124.17962172768915,256.93667129974233
-70.96,-34.23,4.127,4.23,7.5,Donihue (*),163.87593200523267,163.87593353782643,277.62345977759753
-70.94,-34.27,2.39,2.73,7.5,Coinco,163.63389774762376,163.63389931833703,275.91309467228683
-71.1,-34.3,2.6338,2.941,7.5,Coltauco (*),149.0537266406344,149.05372803738695,263.5433739282203
-71.53,-34.31,3.00058,5.636,7.5,Esperanza,114.61883647276996,114.61883737127876,237.45713698139735
-71.28,-34.36,2.98391,7.357,7.5,Pichidegua,131.50012903742555,131.50013024856082,247.88515559332438
-71.55,-34.44,2.30044,4.899,7.5,Poblacion,105.86871193545063,105.86871286466611,225.68360295550144
-71.36,-34.64,0.36672,4.383,7.5,SantaCruz,114.29545398923197,114.29545519637506,222.57238518686933
-71.28,-34.73,0.41673,2.651,7.5,Chepica,119.55753246951684,119.5575337781855,222.02662319395483
-71.65,-34.8,4.28417,2.632,7.5,Lolol,85.95265714827212,85.9526580594489,193.5732246994901
-71.23,-34.98,0.52,3.8,7.5,Curico,123.51739081202037,123.51739216394814,211.5781015121516
-71.99,-35.24,5.73446,2.439,7.5,Gualleco,69.78951854991536,69.78951897521539,150.5108823033325
-71.98,-35.32,7.63484,3.795,7.5,Batuco,75.98714591173666,75.98714631483865,148.27669093402085
-73.03,-36.82,0.70012,9.321,7.5,Concepcion,49.44630816980224,222.1727939515666,116.7278272203907
-73.1,-36.84,0.66678,10.27,7.5,SanPedrodelaPaz,46.71850900463065,225.64338406267458,117.67784781368724
-71.84,-33.9,0.79,4.17,7.0,LaBoca,127.82617596041175,127.8261763584673,261.13401212764904
-71.87,-33.96,0.25003,7.494,7.0,Matanzas,120.82891855463996,120.8289189398226,254.02638032484197
-71.73,-34.12,0.16,2.0,7.0,Litueche,114.4762491497691,114.47624973649665,244.3491188398662
-70.66,-34.19,3.01,2.57,7.0,Machali,190.55655253361948,190.55655439920585,300.02237145376716
-71.66,-34.21,3.68405,4.706,7.0,LaEstrella,112.03166122078898,112.03166192402335,239.38988718169833
-71.4,-34.3,3.1006,4.434,7.0,LasPataguas,125.10607966422243,125.10608071107981,245.5659374737818
-71.17,-34.38,1.75033,2.099,7.0,Peumo,139.62588182407004,139.6258831695317,253.1616450841006
-70.86,-34.41,4.11747,2.877,7.0,Rengo,164.7446807873211,164.74468249483556,271.24325163821595
-71.08,-34.44,0.49,4.08,7.0,SanVicenteTagua-tagua,144.78784341914016,144.78784488712756,254.57301112136838
-71.16,-34.87,2.49,1.97,7.0,Teno,129.25376043592067,129.25376187613423,222.19502702010618
-71.31,-34.93,1.25023,2.723,7.0,Rauco,115.9612322159222,115.96123348980787,208.5149194519936
-71.81,-34.98,2.86722,3.601,7.0,Hualane,72.67321576464406,72.67321648690091,172.96370465521076
-71.28,-35.11,0.25003,2.212,7.0,Molina,121.33275379448459,121.33275506044964,202.02285469015408
-71.27,-35.28,3.54,4.33,7.0,Cumpeo,127.57649315993358,127.576494372846,196.15360486346816
-71.81,-35.34,2.9339,4.572,7.0,Pencahue,88.61245916193002,88.6124597439445,157.62465016692596
-71.58,-35.55,2.13,4.36,7.0,Bobadilla,118.68438152241747,118.68438226134259,166.82062098946
-72.27,-35.59,2.90056,3.654,7.0,Empedrado,87.32971461541644,87.32971469893778,126.72655872317594
-72.52,-35.73,1.91703,2.981,7.0,Chanco,76.4888098132205,98.56600420959934,114.54527250192598
-71.77,-36.03,0.38339,3.277,7.0,Retiro,121.67876321482863,148.99471185566256,149.45700228894407
-72.78,-36.13,6.80134,3.892,7.0,Cobquecura,39.80226540311451,143.54712417717613,101.56777714173487
-72.55,-36.28,2.91723,5.004,7.0,Quirihue,56.165338532659504,158.46054191774581,109.8279149292803
-72.4,-36.39,2.57,3.13,7.0,Ninhue,70.6656201000699,171.0812648547914,118.17125579678748
-71.96,-36.42,0.34,1.63,7.0,SanCarlos,107.00607916785053,181.86449649091483,142.3391214970649
-72.95,-36.62,2.68385,2.439,7.0,Tome,57.7556600397053,199.16444110271536,108.97812866129331
-72.29,-36.74,1.12,3.67,7.0,Bulnes,95.35447254579064,210.39348317282358,134.88893337887794
-73.0,-36.74,2.6005,3.156,7.0,Penco,56.689527407368765,212.99591094286856,113.3849139851227
-72.47,-36.74,1.4336,6.03,7.0,Quillon,82.73446115543479,209.20216464256794,126.74026528233428
-72.66,-36.82,2.30044,4.668,7.0,Florida,65.81813523820921,218.12734160113965,123.47821161079503
-73.16,-37.09,3.17,5.14,7.0,Lota,33.326584559337235,253.74409665905523,131.5695709557753
-71.17,-33.65,2.75053,3.979,6.5,Pomaire,186.95333766268536,186.95333870281956,314.6620343291826
